synthesizer,camera_position,scene,pose_traces,QP,numGroup,psnr_mean,ssim_mean,vmaf_mean,TMIV_encoding_time,TMIV_decoding_time,x265_encoding_time,x265_decoding_time,bitrate,numGroup
AdditiveSynthesizer,6x6,ArchVizInterior,pose0,20,4,47.39454377,0.920561522,52.71654523,662.521,2035.506,17.7736876,3.992146015,14857104,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose1,20,4,46.2182384,0.909604011,58.7966583,662.521,2537.029,17.7736876,3.992146015,14857104,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose2,20,4,46.08691941,0.881987244,62.34267741,662.521,2205.432,17.7736876,3.992146015,14857104,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose3,20,4,50.25104121,0.946085967,61.08074057,662.521,2074.654,17.7736876,3.992146015,14857104,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose4,20,4,46.19334608,0.905837856,55.98158982,662.521,2224.766,17.7736876,3.992146015,14857104,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose5,20,4,49.10301162,0.948221656,68.03705883,662.521,2121.078,17.7736876,3.992146015,14857104,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose6,20,4,50.01917829,0.961611456,71.91354613,662.521,2774.695,17.7736876,3.992146015,14857104,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose7,20,4,45.81998618,0.878992856,59.99190729,662.521,2376.939,17.7736876,3.992146015,14857104,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose8,20,4,47.10224259,0.914357678,27.88066912,662.521,1625.828,17.7736876,3.992146015,14857104,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose9,20,4,49.54324183,0.943807589,60.63642934,662.521,2485.789,17.7736876,3.992146015,14857104,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose0,20,4,47.31127079,0.9292553,46.56957703,662.521,2868.808,17.7736876,3.992146015,14857104,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose1,20,4,45.58528109,0.885817956,47.67203606,662.521,3401.701,17.7736876,3.992146015,14857104,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose2,20,4,45.58328388,0.862895544,53.2863725,662.521,3227.829,17.7736876,3.992146015,14857104,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose3,20,4,50.15204476,0.957531856,52.02096711,662.521,2933.594,17.7736876,3.992146015,14857104,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose4,20,4,45.83591876,0.9067406,48.06690918,662.521,3155.364,17.7736876,3.992146015,14857104,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose5,20,4,48.88639406,0.9489342,58.84755142,662.521,3235.835,17.7736876,3.992146015,14857104,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose6,20,4,49.51898004,0.954914511,62.63918114,662.521,3428.134,17.7736876,3.992146015,14857104,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose7,20,4,45.63870849,0.872741511,54.3664949,662.521,3293.674,17.7736876,3.992146015,14857104,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose8,20,4,46.92889489,0.9107806,23.85175616,662.521,2634.033,17.7736876,3.992146015,14857104,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose9,20,4,49.18790061,0.944852811,53.34913063,662.521,3479.206,17.7736876,3.992146015,14857104,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose0,36,4,46.33154691,0.915423444,48.54428836,698.375,2126.216,5.373101234,3.53782773,3744912,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose1,36,4,44.40092129,0.886907756,52.8651966,698.375,2635.694,5.373101234,3.53782773,3744912,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose2,36,4,44.28630168,0.8648558,56.67016033,698.375,2263.028,5.373101234,3.53782773,3744912,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose3,36,4,48.15013036,0.941862911,54.86171594,698.375,2141.663,5.373101234,3.53782773,3744912,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose4,36,4,45.11456387,0.898089633,51.12261191,698.375,2337.695,5.373101234,3.53782773,3744912,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose5,36,4,47.41126821,0.941100456,62.78770312,698.375,2165.609,5.373101234,3.53782773,3744912,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose6,36,4,47.11576094,0.953383611,65.41806124,698.375,2856.636,5.373101234,3.53782773,3744912,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose7,36,4,44.25965621,0.869066933,55.54356971,698.375,2430.992,5.373101234,3.53782773,3744912,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose8,36,4,46.76945281,0.909662578,25.37753407,698.375,1728.945,5.373101234,3.53782773,3744912,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose9,36,4,47.17625107,0.935768956,55.53401921,698.375,2521.433,5.373101234,3.53782773,3744912,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose0,36,4,46.01664323,0.922905156,42.56573179,698.375,2864.203,5.373101234,3.53782773,3744912,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose1,36,4,44.00562573,0.864730922,42.96401424,698.375,3482.727,5.373101234,3.53782773,3744912,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose2,36,4,43.9352542,0.845916833,48.68595463,698.375,3254.409,5.373101234,3.53782773,3744912,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose3,36,4,47.75926767,0.950384444,47.04601898,698.375,2782.167,5.373101234,3.53782773,3744912,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose4,36,4,44.80592928,0.8971669,43.73885579,698.375,3145.1,5.373101234,3.53782773,3744912,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose5,36,4,47.11392006,0.940764311,54.1502834,698.375,3013.635,5.373101234,3.53782773,3744912,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose6,36,4,46.68000738,0.945056422,56.4157644,698.375,3272.656,5.373101234,3.53782773,3744912,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose7,36,4,43.98318599,0.861529589,50.20290489,698.375,3284.453,5.373101234,3.53782773,3744912,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose8,36,4,46.56585049,0.905437389,21.68783864,698.375,2627.123,5.373101234,3.53782773,3744912,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose9,36,4,46.79391472,0.934326911,48.68224726,698.375,3364.064,5.373101234,3.53782773,3744912,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose0,44,4,45.01364397,0.902243267,39.132946,667.867,2024.668,4.876381397,3.256852865,1973816,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose1,44,4,43.18153018,0.8469978,42.185163,667.867,2539.078,4.876381397,3.256852865,1973816,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose2,44,4,43.19450771,0.828646633,46.22835247,667.867,2169.272,4.876381397,3.256852865,1973816,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose3,44,4,46.70373373,0.925384378,42.81929926,667.867,2067.708,4.876381397,3.256852865,1973816,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose4,44,4,43.91433496,0.8797116,41.59539943,667.867,2277.69,4.876381397,3.256852865,1973816,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose5,44,4,45.52046242,0.924061489,51.75974556,667.867,2100.4,4.876381397,3.256852865,1973816,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose6,44,4,45.73878911,0.9341662,52.11152302,667.867,2728.139,4.876381397,3.256852865,1973816,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose7,44,4,43.30430371,0.8469997,46.83021286,667.867,2364.827,4.876381397,3.256852865,1973816,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose8,44,4,45.03606572,0.898528367,19.98889771,667.867,1687.848,4.876381397,3.256852865,1973816,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose9,44,4,45.69635152,0.915551189,44.84449468,667.867,2480.138,4.876381397,3.256852865,1973816,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose0,44,4,44.66348968,0.908114456,33.77597861,667.867,2852.557,4.876381397,3.256852865,1973816,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose1,44,4,42.87383871,0.8255524,34.43755094,667.867,3467.421,4.876381397,3.256852865,1973816,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose2,44,4,42.8895705,0.809199856,39.90091391,667.867,3246.878,4.876381397,3.256852865,1973816,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose3,44,4,46.27021603,0.933340411,35.63113149,667.867,2923.857,4.876381397,3.256852865,1973816,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose4,44,4,43.639482,0.877351667,34.73959562,667.867,3127.127,4.876381397,3.256852865,1973816,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose5,44,4,45.24627138,0.921916478,44.06625437,667.867,3279.328,4.876381397,3.256852865,1973816,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose6,44,4,45.33917889,0.922231044,43.51371673,667.867,3444.466,4.876381397,3.256852865,1973816,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose7,44,4,42.96434877,0.836976378,42.2127699,667.867,3261.017,4.876381397,3.256852865,1973816,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose8,44,4,44.82718322,0.893098467,17.22397531,667.867,2659.175,4.876381397,3.256852865,1973816,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose9,44,4,45.25791627,0.912843778,39.16928004,667.867,3419.123,4.876381397,3.256852865,1973816,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose0,48,4,43.79153103,0.890771211,31.91286507,656.94,2045.028,12.0437808,9.582988501,1491160,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose1,48,4,42.00855604,0.8096859,34.24476483,656.94,2491.476,12.0437808,9.582988501,1491160,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose2,48,4,41.89794354,0.791369978,38.47850619,656.94,2191.773,12.0437808,9.582988501,1491160,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose3,48,4,44.38305769,0.9103218,33.75274148,656.94,2068.882,12.0437808,9.582988501,1491160,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose4,48,4,42.96518621,0.863222922,34.3528487,656.94,2227.077,12.0437808,9.582988501,1491160,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose5,48,4,43.99034497,0.908284811,42.95485421,656.94,2006.438,12.0437808,9.582988501,1491160,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose6,48,4,44.2326251,0.913707,41.71772757,656.94,2786.65,12.0437808,9.582988501,1491160,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose7,48,4,42.19867636,0.825740411,39.6615235,656.94,2398.797,12.0437808,9.582988501,1491160,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose8,48,4,44.02343683,0.888245533,16.07247921,656.94,1606.182,12.0437808,9.582988501,1491160,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose9,48,4,44.20869571,0.897080244,36.87715758,656.94,2437.249,12.0437808,9.582988501,1491160,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose0,48,4,43.55338489,0.895064722,27.0734915,656.94,2832.973,12.0437808,9.582988501,1491160,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose1,48,4,41.81702436,0.789561911,27.59450991,656.94,3400.995,12.0437808,9.582988501,1491160,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose2,48,4,41.68996672,0.773492256,33.56353289,656.94,3178.928,12.0437808,9.582988501,1491160,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose3,48,4,44.35560874,0.918122778,27.44300507,656.94,2911.392,12.0437808,9.582988501,1491160,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose4,48,4,42.7047436,0.859878767,27.8310091,656.94,3196.495,12.0437808,9.582988501,1491160,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose5,48,4,43.73257923,0.904542156,35.86886746,656.94,3311.053,12.0437808,9.582988501,1491160,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose6,48,4,43.76246962,0.900275689,34.24249641,656.94,3468.596,12.0437808,9.582988501,1491160,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose7,48,4,41.87128583,0.815073956,35.52957814,656.94,3251.579,12.0437808,9.582988501,1491160,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose8,48,4,43.75241874,0.881554789,13.52918741,656.94,2620.646,12.0437808,9.582988501,1491160,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose9,48,4,44.09990801,0.893129878,31.78752761,656.94,3223.967,12.0437808,9.582988501,1491160,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose0,50,4,42.64464149,0.8847932,27.44138848,641.136,1893.454,3.68987608,3.083024263,1330616,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose1,50,4,41.43352976,0.789813656,31.30566283,641.136,2501.335,3.68987608,3.083024263,1330616,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose2,50,4,41.23506563,0.766427978,35.06382201,641.136,2160.036,3.68987608,3.083024263,1330616,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose3,50,4,42.99822116,0.904299878,28.10132737,641.136,2000.87,3.68987608,3.083024263,1330616,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose4,50,4,42.09309651,0.855767467,30.65480369,641.136,2225.978,3.68987608,3.083024263,1330616,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose5,50,4,42.64173951,0.8994421,38.32702403,641.136,2107.779,3.68987608,3.083024263,1330616,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose6,50,4,43.22723044,0.901564578,36.06047267,641.136,2762.217,3.68987608,3.083024263,1330616,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose7,50,4,41.5805059,0.813395156,36.08314336,641.136,2384.583,3.68987608,3.083024263,1330616,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose8,50,4,42.9472984,0.882259522,13.9098914,641.136,1689.011,3.68987608,3.083024263,1330616,4
AdditiveSynthesizer,6x6,ArchVizInterior,pose9,50,4,43.09404283,0.889280589,32.58772174,641.136,2484.135,3.68987608,3.083024263,1330616,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose0,50,4,42.51014138,0.887400133,22.57059877,641.136,2902.114,3.68987608,3.083024263,1330616,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose1,50,4,41.23282687,0.768014922,24.74127793,641.136,3485.279,3.68987608,3.083024263,1330616,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose2,50,4,41.08512339,0.749231378,30.40053559,641.136,3228.72,3.68987608,3.083024263,1330616,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose3,50,4,42.94768193,0.908899133,22.33602336,641.136,2932.091,3.68987608,3.083024263,1330616,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose4,50,4,41.95009948,0.849863367,24.38015688,641.136,3184.998,3.68987608,3.083024263,1330616,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose5,50,4,42.6108496,0.893835322,31.52585679,641.136,3298.129,3.68987608,3.083024263,1330616,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose6,50,4,43.04035254,0.887382644,29.01850553,641.136,3436.898,3.68987608,3.083024263,1330616,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose7,50,4,41.4141584,0.801796367,31.80694924,641.136,3267.506,3.68987608,3.083024263,1330616,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose8,50,4,42.87172039,0.875466422,11.66036459,641.136,2620.1,3.68987608,3.083024263,1330616,4
ViewWeightingSynthesizer,6x6,ArchVizInterior,pose9,50,4,43.00812916,0.882401644,27.5208348,641.136,3411.608,3.68987608,3.083024263,1330616,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose0,20,4,47.3821536,0.931884322,51.92900634,638.084,1770.019,31.05150771,19.1603334,13187512,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose1,20,4,46.5328333,0.861928456,52.21552114,638.084,2029.632,31.05150771,19.1603334,13187512,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose2,20,4,44.43127247,0.811573411,55.42708371,638.084,1799.551,31.05150771,19.1603334,13187512,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose3,20,4,49.12471621,0.960073678,60.18241451,638.084,1836.934,31.05150771,19.1603334,13187512,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose4,20,4,47.07936812,0.917274033,55.24754636,638.084,1925.991,31.05150771,19.1603334,13187512,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose5,20,4,48.6256119,0.957248522,69.79505253,638.084,1745.94,31.05150771,19.1603334,13187512,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose6,20,4,50.37029783,0.964166267,69.6243842,638.084,2248.326,31.05150771,19.1603334,13187512,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose7,20,4,45.84411509,0.871602589,59.71211624,638.084,2038.89,31.05150771,19.1603334,13187512,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose8,20,4,46.37682728,0.914954767,28.41005501,638.084,1452.516,31.05150771,19.1603334,13187512,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose9,20,4,49.61559006,0.952305078,61.84551557,638.084,2057.729,31.05150771,19.1603334,13187512,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose0,20,4,47.17700021,0.927022078,48.37512318,638.084,2742.64,31.05150771,19.1603334,13187512,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose1,20,4,45.99789122,0.850416778,45.05184782,638.084,2948.078,31.05150771,19.1603334,13187512,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose2,20,4,44.08507383,0.803004811,49.46585951,638.084,2832.641,31.05150771,19.1603334,13187512,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose3,20,4,48.93132386,0.955072022,52.03610564,638.084,2853.631,31.05150771,19.1603334,13187512,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose4,20,4,46.74669753,0.913152967,49.19800054,638.084,3045.842,31.05150771,19.1603334,13187512,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose5,20,4,48.28782622,0.952609778,64.42863397,638.084,3162.403,31.05150771,19.1603334,13187512,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose6,20,4,49.8763187,0.959033011,62.08830997,638.084,3320.437,31.05150771,19.1603334,13187512,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose7,20,4,45.6486447,0.866162011,54.96261661,638.084,3176.49,31.05150771,19.1603334,13187512,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose8,20,4,46.20062266,0.912010711,25.7160712,638.084,2585.623,31.05150771,19.1603334,13187512,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose9,20,4,49.10594014,0.945408633,54.062302,638.084,3186.691,31.05150771,19.1603334,13187512,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose0,36,4,45.56753171,0.922999622,47.96337204,613.279,1714.329,5.068071604,3.310019732,3333816,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose1,36,4,44.63326113,0.847445156,48.06586807,613.279,2009.82,5.068071604,3.310019732,3333816,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose2,36,4,43.46921098,0.800623256,51.55773406,613.279,1794.398,5.068071604,3.310019732,3333816,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose3,36,4,45.90549839,0.949976344,54.68355791,613.279,1797.711,5.068071604,3.310019732,3333816,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose4,36,4,45.79123252,0.908168411,50.82746117,613.279,1898.726,5.068071604,3.310019732,3333816,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose5,36,4,45.99440083,0.948525744,65.00440546,613.279,1727.601,5.068071604,3.310019732,3333816,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose6,36,4,47.09998353,0.955808467,63.37202852,613.279,2229.562,5.068071604,3.310019732,3333816,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose7,36,4,44.29460692,0.862803756,55.8165761,613.279,1994.229,5.068071604,3.310019732,3333816,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose8,36,4,44.72350173,0.908575378,25.97614964,613.279,1415.851,5.068071604,3.310019732,3333816,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose9,36,4,46.80151913,0.943899678,56.70722437,613.279,2041.186,5.068071604,3.310019732,3333816,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose0,36,4,45.28020273,0.917713489,44.94797004,613.279,2750.159,5.068071604,3.310019732,3333816,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose1,36,4,44.28289097,0.835332967,41.44675021,613.279,3221.248,5.068071604,3.310019732,3333816,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose2,36,4,43.15338174,0.7908519,46.21092996,613.279,2981.816,5.068071604,3.310019732,3333816,4
